airport_id,city,country_name,latitude,longitude
URJ,Uraj,Russia,60.10329819,64.8266983
IWA,Ivanovo,Russia,56.93939972,40.94079971
CGQ,Changchun,China,43.99620056,125.6849976
KIJ,Niigata,Japan,37.95589828,139.1210022
JON,Johnston Island,Johnston Atoll,16.72859955,-169.5339966
SMD,Fort Wayne IN,United States,41.14339828,-85.15280151
ACV,Arcata CA,United States,40.978101,-124.109
OAJ,Jacksonville NC,United States,34.82920074,-77.61209869
TCL,Tuscaloosa AL,United States,33.22060013,-87.61139679
DBQ,Dubuque IA,United States,42.40200043,-90.70950317
HHP,Hong Kong,Hong Kong,22.28937149,114.152153
ATD,Atoifi,Solomon Islands,-8.87333,161.011002
AKS,Auki,Solomon Islands,-8.70257,160.682007
BAS,Ballalae,Solomon Islands,-6.990745,155.886656
FRE,Fera Island,Solomon Islands,-8.1075,159.576996
MBU,Mbambanakira,Solomon Islands,-9.74750042,159.8390045
IRA,Kirakira,Solomon Islands,-10.44970036,161.897995
SCZ,Santa Cruz/Graciosa Bay/Luova,Solomon Islands,-10.72029972,165.7949982
MUA,Munda,Solomon Islands,-8.327969551,157.2630005
GZO,Gizo,Solomon Islands,-8.097780228,156.8639984
MNY,Stirling Island,Solomon Islands,-7.416940212,155.5650024
RNL,Rennell Island,Solomon Islands,-11.53390026,160.0630035
RUS,Marau,Solomon Islands,-9.86166954,160.8249969
VAO,Suavanao,Solomon Islands,-7.585559845,158.7310028
KGE,Kagau Island,Solomon Islands,-7.3305,157.585
RBV,Ramata,Solomon Islands,-8.168060303,157.6430054
BUA,Buka Island,Papua New Guinea,-5.422319889,154.6730042
CMU,Kundiawa,Papua New Guinea,-6.024290085,144.970993
DAU,Daru,Papua New Guinea,-9.086759567,143.2079926
GUR,Gurney,Papua New Guinea,-10.3114996,150.3339996
PNP,Girua,Papua New Guinea,-8.80453968,148.3090057
HKN,Hoskins,Papua New Guinea,-5.462170124,150.4049988
UNG,Kiunga,Papua New Guinea,-6.125710011,141.2819977
KRI,Kikori,Papua New Guinea,-7.424379826,144.2500763
KMA,Kerema,Papua New Guinea,-7.963610172,145.7709961
KVG,Kavieng,Papua New Guinea,-2.579400063,150.8079987
MDU,Mendi,Papua New Guinea,-6.14774,143.656998
MAS,Momote,Papua New Guinea,-2.06189,147.423996
MXH,Moro,Papua New Guinea,-6.363329887,143.2380066
MIS,Misima Island,Papua New Guinea,-10.6892004,152.8379974
TIZ,Tari,Papua New Guinea,-5.84499979,142.947998
TBG,Tabubil,Papua New Guinea,-5.27861,141.225998
RAB,Tokua,Papua New Guinea,-4.340459824,152.3800049
VAI,Vanimo,Papua New Guinea,-2.6926,141.3028
WBM,Wapenamanda,Papua New Guinea,-5.643300056,143.8950043
LLU,Alluitsup Paa,Greenland,60.46445,-45.56917
CNP,Neerlerit Inaat,Greenland,70.74310303,-22.65049934
JFR,Paamiut,Greenland,61.99219894,-49.66249847
JGO,Qeqertarsuaq Airport,Greenland,69.25118199,-53.51487637
JJU,Qaqortoq,Greenland,60.71568416,-46.02991864
JSU,Maniitsoq,Greenland,65.41249847,-52.93939972
JNN,Nanortalik,Greenland,60.14188398,-45.23297668
JNS,Narsaq,Greenland,60.91728273,-46.05992317
NAQ,Qaanaaq,Greenland,77.48860168,-69.38870239
JHS,Sisimiut,Greenland,66.95130157,-53.72930145
JUV,Upernavik,Greenland,72.79019928,-56.13059998
JQA,Uummannaq,Greenland,70.73419952,-52.69620132
GRY,Grímsey,Iceland,66.5458,-18.0173
THO,Thorshofn,Iceland,66.21849823,-15.3355999
VPN,Vopnafjörður,Iceland,65.72059631,-14.85060024
YWS,Whistler,Canada,50.14360046,-122.9489975
YAA,Anahim Lake,Canada,52.45249939,-125.3030014
YWM,Williams Harbour,Canada,52.56689835,-55.78469849
YFX,St. Lewis,Canada,52.37279892,-55.6739006
YHA,Port Hope Simpson,Canada,52.52809906,-56.28609848
YRG,Rigolet,Canada,54.17969894,-58.45750046
YCK,Colville Lake,Canada,67.0392,-126.08
YLE,Whatì,Canada,63.13169861,-117.2460022
SUR,Summer Beaver,Canada,52.70859909,-88.54190063
YAX,Angling Lake,Canada,53.8492012,-89.57939911
WNN,Wunnumin Lake,Canada,52.89390182,-89.28919983
YNO,North Spirit Lake,Canada,52.49000168,-92.97109985
XBE,Bearskin Lake,Canada,53.96559906,-91.02719879
KIF,Kingfisher Lake,Canada,53.01250076,-89.8553009
YOG,Ogoki Post,Canada,51.65859985,-85.90170288
YHP,Poplar Hill,Canada,52.1133,-94.2556
YKU,Chisasibi,Canada,53.80559921,-78.91690063
ZTB,Tête-à-la-Baleine,Canada,50.67440033,-59.38359833
ZLT,La Tabatière,Canada,50.8307991,-58.9756012
YAC,Cat Lake,Canada,51.72719955,-91.82440186
YAG,Fort Frances,Canada,48.65420151,-93.43969727
XKS,Kasabonika,Canada,53.52470016,-88.64279938
YKG,Kangirsuk,Canada,60.02719879,-69.99919891
YAT,Attawapiskat,Canada,52.92750168,-82.43190002
YBE,Uranium City,Canada,59.56140137,-108.4810028
YBX,Lourdes-De-Blanc-Sablon,Canada,51.4435997,-57.18529892
YRF,Cartwright,Canada,53.68280029,-57.04190063
YCS,Chesterfield Inlet,Canada,63.34690094,-90.73110199
YDP,Nain,Canada,56.54919815,-61.68030167
YER,Fort Severn,Canada,56.01890182,-87.67610168
YFA,Fort Albany,Canada,52.20140076,-81.69689941
YFH,Fort Hope,Canada,51.56190109,-87.90779877
YMN,Makkovik,Canada,55.07690048,-59.18640137
YGB,Texada,Canada,49.69419861,-124.5179977
YGO,Gods Lake Narrows,Canada,54.55889893,-94.49140167
YGT,Igloolik,Canada,69.36470032,-81.81610107
YGW,Kuujjuarapik,Canada,55.2818985,-77.76529694
YGX,Gillam,Canada,56.35749817,-94.71060181
YGZ,Grise Fiord,Canada,76.42610168,-82.90920258
YQC,Quaqtaq,Canada,61.04639816,-69.61779785
CXH,Vancouver,Canada,49.29439926,-123.1110001
YNS,Nemiscau,Canada,51.69110107,-76.13559723
YHO,Hopedale,Canada,55.44829941,-60.22859955
YHR,Chevery,Canada,50.46889877,-59.63669968
YIK,Ivujivik,Canada,62.41730118,-77.9253006
YIV,Island Lake,Canada,53.85720062,-94.6536026
AKV,Akulivik,Canada,60.8185997,-78.14859772
YKQ,Waskaganish,Canada,51.47330093,-78.75830078
YPJ,Aupaluk,Canada,59.29669952,-69.59970093
YLC,Kimmirut,Canada,62.84999847,-69.88330078
YLH,Lansdowne House,Canada,52.1955986,-87.93419647
XGR,Kangiqsualujjuaq,Canada,58.71139908,-65.99279785
YMH,Mary's Harbour,Canada,52.30279922,-55.84719849
YMT,Chibougamau,Canada,49.77190018,-74.52809906
YUD,Umiujaq,Canada,56.53609848,-76.51830292
YNC,Wemindji,Canada,53.01060104,-78.83110046
YNE,Norway House,Canada,53.95830154,-97.84420013
YNL,Points North Landing,Canada,58.27669907,-104.0820007
YOH,Oxford House,Canada,54.93330002,-95.27890015
YPH,Inukjuak,Canada,58.47190094,-78.07689667
YPM,Pikangikum,Canada,51.81969833,-93.97329712
YPO,Peawanuck,Canada,54.98809814,-85.44329834
YPW,Powell River,Canada,49.83420181,-124.5
YQD,The Pas,Canada,53.97140121,-101.0910034
YQN,Nakina,Canada,50.18280029,-86.6964035
YRA,Gamètì,Canada,64.1160965,-117.3099976
YRL,Red Lake,Canada,51.06689835,-93.79309845
YSF,Stony Rapids,Canada,59.25030136,-105.8410034
YSK,Sanikiluaq,Canada,56.53779984,-79.24669647
YST,St. Theresa Point,Canada,53.84560013,-94.85189819
YTL,Big Trout Lake,Canada,53.81779861,-89.89689636
YVZ,Deer Lake,Canada,52.65579987,-94.06140137
YWP,Webequie,Canada,52.9593934,-87.37486839
YXN,Whale Cove,Canada,62.24000168,-92.59809875
YZG,Salluit,Canada,62.1794014,-75.66719818
ZAC,York Landing,Canada,56.08940125,-96.08920288
ILF,Ilford,Canada,56.06140137,-95.61389923
ZBF,Bathurst,Canada,47.62969971,-65.73889923
ZEM,Eastmain River,Canada,52.22639847,-78.52249908
ZFD,Fond-Du-Lac,Canada,59.33440018,-107.1819992
ZGI,Gods River,Canada,54.83969879,-94.07859802
ZJN,Swan River,Canada,52.12060165,-101.2360001
ZKE,Kashechewan,Canada,52.28250122,-81.67780304
MSA,Muskrat Dam,Canada,53.44139862,-91.76280212
ZMT,Masset,Canada,54.02750015,-132.125
ZPB,Sachigo Lake,Canada,53.89110184,-92.1964035
ZRJ,Round Lake,Canada,52.9435997,-91.31279755
ZSJ,Sandy Lake,Canada,53.06420135,-93.3443985
ZTM,Shamattawa,Canada,55.86560059,-92.08139801
ZUM,Churchill Falls,Canada,53.56190109,-64.10639954
ZWL,Wollaston Lake,Canada,58.10689926,-103.1719971
BLJ,Batna,Algeria,35.7521019,6.308589935
CBH,Béchar,Algeria,31.64570045,-2.269860029
BMW,Bordj Badji Mokhtar,Algeria,21.375,0.9238889813
ELU,Guemar,Algeria,33.51139832,6.776790142
KMS,Kumasi,Ghana,6.714560032,-1.590819955
HDF,Heringsdorf,Germany,53.87870026,14.15229988
HEI,Büsum,Germany,54.15333176,8.901666641
HGL,Helgoland,Germany,54.18527985,7.915832996
SJY,Seinäjoki / Ilmajoki,Finland,62.692101,22.8323
NQT,Nottingham,United Kingdom,52.91999817,-1.079169989
DSA,"Doncaster, Sheffield",United Kingdom,53.48053781,-1.010656357
CAL,Campbeltown,United Kingdom,55.43719864,-5.686389923
EOI,Eday,United Kingdom,59.19060135,-2.772219896
FIE,Fair Isle,United Kingdom,59.53580093,-1.628059983
NRL,North Ronaldsay,United Kingdom,59.36750031,-2.434439898
PPW,Papa Westray,United Kingdom,59.35169983,-2.900279999
SOY,Stronsay,United Kingdom,59.15530014,-2.641390085
NDY,Sanday,United Kingdom,59.25030136,-2.576669931
LWK,Lerwick,United Kingdom,60.19219971,-1.243610024
WRY,Westray,United Kingdom,59.35029984,-2.950000048
LEQ,Land's End,United Kingdom,50.102798,-5.67056
PZE,Penzance,United Kingdom,50.128101,-5.51845
VLY,Angelsey,United Kingdom,53.24810028,-4.535339832
BRR,Barra,United Kingdom,57.0228,-7.44306
CFN,Dongloe,Ireland,55.0442009,-8.340999603
CNL,Sindal,Denmark,57.503502,10.2294
LKN,Leknes,Norway,68.15249634,13.6093998
OSY,Namsos,Norway,64.47219849,11.57859993
MQN,Mo i Rana,Norway,66.36389923,14.30140018
RVK,Rørvik,Norway,64.83830261,11.14610004
RET,Røst,Norway,67.52780151,12.10330009
SDN,Sandane,Norway,61.83000183,6.105830193
SOG,Sogndal,Norway,61.156101,7.13778
SVJ,Svolvær,Norway,68.24330139,14.66919994
SOJ,Sorkjosen,Norway,69.78679657,20.95940018
VAW,Vardø,Norway,70.35540009,31.04490089
VRY,Værøy,Norway,67.654555,12.727257
BZG,Bydgoszcz,Poland,53.09680176,17.97769928
LCJ,Lodz,Poland,51.72190094,19.3980999
OSD,Östersund,Sweden,63.19440079,14.50030041
HFS,Hagfors,Sweden,60.02009964,13.57890034
KSD,Karlstad,Sweden,59.44469833,13.33740044
TYF,Torsby,Sweden,60.1576004,12.99129963
AGH,Ängelholm,Sweden,56.29610062,12.84710026
SQO,Mohed,Sweden,64.96089935,17.69659996
HMV,Hemavan,Sweden,65.80609894,15.08279991
VNT,Ventspils,Latvia,57.35779953,21.5442009
QRA,Johannesburg,South Africa,-26.24250031,28.15119934
MQP,Mpumalanga,South Africa,-25.38319969,31.10560036
AAM,Malamala,South Africa,-24.81809998,31.54459953
MBD,Mafeking,South Africa,-25.79840088,25.54800034
GNZ,Ghanzi,Botswana,-21.69249916,21.65810013
ORP,Orapa,Botswana,-21.266701,25.3167
SWX,Shakawe,Botswana,-18.37389946,21.83259964
TLD,Tuli Lodge,Botswana,-22.18919945,29.12689972
DIS,Loubomo,Congo (Brazzaville),-4.20635,12.6599
CIP,Chipata,Zambia,-13.55830002,32.58720016
YVA,Moroni,Comoros,-11.71080017,43.2439003
WAQ,Antsalova,Madagascar,-18.701273,44.614921
JVA,Ankavandra,Madagascar,-18.80501,45.273467
BMD,Belo sur Tsiribihina,Madagascar,-19.68670082,44.54190063
MXT,Maintirano,Madagascar,-18.049999,44.033001
TVA,Morafenobe,Madagascar,-17.850083,44.920467
WTA,Tambohorano,Madagascar,-17.47610092,43.97280121
